"individual_id","holder_id","household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","ph_s1q00","ph_s1q02","ph_s1q03","ph_s1q04","ph_s1q05"
"0101050020404902","0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,5,2,4,49,1,2,35,2,4,
"0101050020404903","0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,5,2,4,49,1,3,16,1,4,
"0101050020404904","0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,5,2,4,49,1,4,12,2,4,
"0101050020404905","0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,5,2,4,49,1,5,8,1,4,
"0101050020404906","0101050020404901","01010500204049","01010500204",1,3071.13232421875,1,1,5,2,4,49,1,6,3,1,4,
"0101050020407301","0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,1,5,2,4,73,1,1,30,1,3,"X"
"0101050020407302","0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,1,5,2,4,73,1,2,21,2,4,
"0101050020407303","0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,1,5,2,4,73,1,3,6,2,4,
"0101050020407304","0101050020407301","01010500204073","01010500204",1,3071.13232421875,1,1,5,2,4,73,1,4,1,2,,
"0101050020409701","0101050020409701","01010500204097","01010500204",1,3071.13232421875,1,1,5,2,4,97,1,1,27,1,3,"X"
"0101050020409702","0101050020409701","01010500204097","01010500204",1,3071.13232421875,1,1,5,2,4,97,1,2,24,2,4,
"0101050020409703","0101050020409701","01010500204097","01010500204",1,3071.13232421875,1,1,5,2,4,97,1,3,5,1,4,
"0101050020409704","0101050020409701","01010500204097","01010500204",1,3071.13232421875,1,1,5,2,4,97,1,4,1,1,4,
"0101050020412101","0101050020412101","01010500204121","01010500204",1,3071.13232421875,1,1,5,2,4,121,1,1,33,1,3,"X"
"0101050020412102","0101050020412101","01010500204121","01010500204",1,3071.13232421875,1,1,5,2,4,121,1,2,29,2,4,
"0101050020414501","0101050020414501","01010500204145","01010500204",1,3071.13232421875,1,1,5,2,4,145,1,1,23,1,3,"X"
"0101050020414502","0101050020414501","01010500204145","01010500204",1,3071.13232421875,1,1,5,2,4,145,1,2,20,2,4,
"0101050020414503","0101050020414501","01010500204145","01010500204",1,3071.13232421875,1,1,5,2,4,145,1,3,4,2,4,
"0101050020414504","0101050020414501","01010500204145","01010500204",1,3071.13232421875,1,1,5,2,4,145,1,4,1,2,4,
"0101050020416901","0101050020416901","01010500204169","01010500204",1,3071.13232421875,1,1,5,2,4,169,1,1,23,1,1,"X"
"0101050020416902","0101050020416901","01010500204169","01010500204",1,3071.13232421875,1,1,5,2,4,169,1,2,18,2,4,
"0101050020416903","0101050020416901","01010500204169","01010500204",1,3071.13232421875,1,1,5,2,4,169,1,3,0,1,4,
"0101050020419301","0101050020419301","01010500204193","01010500204",1,3071.13232421875,1,1,5,2,4,193,1,1,68,1,3,"X"
"0101050020419302","0101050020419301","01010500204193","01010500204",1,3071.13232421875,1,1,5,2,4,193,1,2,53,2,4,
"0101050020419303","0101050020419301","01010500204193","01010500204",1,3071.13232421875,1,1,5,2,4,193,1,3,33,1,4,
"0101050020419304","0101050020419301","01010500204193","01010500204",1,3071.13232421875,1,1,5,2,4,193,1,4,20,1,4,
"0101050020419305","0101050020419301","01010500204193","01010500204",1,3071.13232421875,1,1,5,2,4,193,1,5,16,1,4,
"0101050020421701","0101050020421701","01010500204217","01010500204",1,3071.13232421875,1,1,5,2,4,217,1,1,35,1,3,"X"
"0101050020421702","0101050020421701","01010500204217","01010500204",1,3071.13232421875,1,1,5,2,4,217,1,2,26,2,4,
"0101050020421703","0101050020421701","01010500204217","01010500204",1,3071.13232421875,1,1,5,2,4,217,1,3,9,2,4,
"0101050020421704","0101050020421701","01010500204217","01010500204",1,3071.13232421875,1,1,5,2,4,217,1,4,5,2,4,
