"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q08","cs6q09_1","cs6q09_2","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"03080400503",1,3,8,4,8,88,5,3,1,1,8,15,9,10,,2,3,4,3,3,1,1,,,1,35,1,4,1,1,3,3,1,3,4,4,5,5,2,5,5,2,5,5,5,5
"03090101202",1,3,9,1,8,88,12,2,1,2,3,7,10,10,10,3,4,5,2,2,1,1,,,1,192,3,4,3,1,3,3,1,9,5,5,5,5,4,4,4,3,4,5,4,9
"03090202501",1,3,9,2,8,88,25,1,1,7,60,8,11,7,11,5,11,4,2,2,2,1,,,1,358,3,3,3,1,1,1,3,2,4,4,4,4,4,4,5,4,5,4,4,3
"03090203201",1,3,9,2,8,88,32,1,1,1,7,8,9,10,11,1,4,3,3,2,2,1,,,1,268,3,2,3,1,2,1,3,2,4,4,2,4,4,4,5,3,3,3,4,9
"03090400702",1,3,9,4,8,88,7,2,1,3,7,1,10,11,12,4,5,6,3,2,1,1,,,1,200,1,2,1,1,1,1,1,1,4,4,4,4,2,2,5,4,4,4,5,9
"03090501102",1,3,9,5,8,88,11,2,1,3,2,7,10,9,10,3,4,,1,3,1,1,,,1,265,3,4,3,1,3,3,3,9,4,4,2,4,3,3,2,2,4,4,4,4
"03090600105",0,3,9,6,2,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"03100101106",1,3,10,1,8,88,11,6,1,6,7,2,8,11,,3,4,,2,3,2,1,,,2,,3,3,3,1,3,3,2,3,1,1,3,3,4,4,4,3,4,4,4,3
"03100201601",1,3,10,2,8,88,16,1,1,6,27,7,8,10,11,3,4,,2,3,1,1,,,1,90,3,3,3,1,1,1,2,1,4,4,4,4,4,4,3,3,4,4,4,4
"03100400103",0,3,10,4,3,1,1,3,1,7,6,2,11,8,9,2,3,2,2,2,1,1,,,1,0,1,1,1,3,2,2,1,2,4,4,3,4,4,4,3,4,5,4,4,3
"03100400408",1,3,10,4,8,88,4,8,1,6,7,2,8,11,10,2,3,4,3,1,1,1,,,1,150,1,1,1,1,1,3,1,3,5,5,5,5,1,5,4,2,5,1,1,3
"03120100101",1,3,12,1,8,88,1,1,1,6,12,2,8,9,10,2,3,4,3,3,1,1,,,2,,1,1,1,1,3,3,9,2,3,4,3,3,3,3,3,2,5,9,4,5
"03120100303",1,3,12,1,8,88,3,3,1,6,2,12,7,8,9,2,3,4,3,3,1,1,,,2,,1,1,1,1,3,3,9,3,2,3,4,3,3,3,3,2,1,9,4,3
"03120100504",1,3,12,1,8,88,5,4,1,6,2,7,8,9,11,2,3,4,3,3,1,1,,,2,,1,1,1,1,3,3,9,3,3,3,5,3,3,3,3,4,4,9,4,3
"04010102202",1,4,1,1,8,88,22,2,1,2,6,25,9,10,12,3,4,5,2,2,2,1,,,1,350,3,2,3,1,1,1,1,1,4,4,3,4,3,4,2,2,4,4,4,4
"04010601302",1,4,1,6,8,88,13,2,1,7,3,2,11,10,8,4,4,3,2,2,2,1,,,2,,3,3,1,1,1,1,1,1,4,5,4,4,4,4,2,2,4,4,4,3
"04011300501",1,4,1,13,8,88,5,1,1,2,72,7,9,10,11,3,5,4,2,3,2,1,,,1,200,1,2,1,1,3,3,3,3,4,4,4,4,4,4,4,1,3,9,1,9
"04011600103",0,4,1,16,2,1,1,3,1,72,7,2,10,11,9,4,5,6,2,2,2,2,2,,2,,3,2,3,1,1,1,2,1,4,4,4,4,4,4,2,2,4,4,5,4
"04011802402",1,4,1,18,8,88,24,2,1,2,72,3,9,10,11,3,5,4,2,2,1,1,,,2,,1,2,1,3,1,1,3,1,5,5,5,5,4,5,1,4,4,4,5,3
"04020401105",1,4,2,4,8,88,11,5,1,7,2,72,11,9,10,3,3,5,3,3,1,1,,,1,150,3,3,3,1,1,1,3,1,4,4,4,4,3,3,3,3,3,3,3,3
"04021001102",1,4,2,10,8,88,11,2,1,7,1,3,11,2,10,4,5,5,2,3,1,1,,,1,50,3,2,3,1,1,1,3,1,4,4,4,4,3,3,4,4,4,3,2,4
"04021400204",0,4,2,14,1,1,2,4,1,1,8,7,10,11,11,1,3,4,2,1,1,2,6,,1,30,3,2,3,1,1,1,1,2,4,2,4,2,2,2,2,3,2,1,1,3
"04021401801",1,4,2,14,8,88,18,1,1,6,2,25,8,8,11,3,1,3,3,3,1,1,,,2,,3,4,3,1,2,2,2,9,4,4,4,4,4,4,4,1,2,3,3,2
