"ea_id","rural","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11"
"05020200102",0,5,2,2,8,88,1,2,1,4,,1,1,3,4,11,2,,,,2,,
"05020201001",1,5,2,2,8,88,10,1,1,,,1,36,3,4,11,2,,,,2,,
"05020408901",1,5,2,4,8,88,89,1,1,,,2,,,,,2,,,,2,,
"05020416502",1,5,2,4,8,88,165,2,1,,,1,79,3,4,11,1,1,11,4,2,,
"05020600901",1,5,2,6,8,88,9,1,1,3,7,1,10,2,1,4,1,2,1,4,2,,
"05020602801",1,5,2,6,8,88,28,1,1,4,,1,3,2,1,11,1,1,1,,2,,
"05020603803",1,5,2,6,8,88,38,3,1,2,3,2,,,,,2,,,,2,,
"05020704801",1,5,2,7,8,88,48,1,1,,,1,20,1,11,,1,1,1,,2,,
"05020709201",1,5,2,7,8,88,92,1,1,3,,1,30,3,1,6,2,,,,1,20,20
"05090100907",1,5,9,1,8,88,9,7,1,,,1,5,2,4,11,2,,,,2,,
"05090102802",1,5,9,1,8,88,28,2,1,4,10,1,30,2,11,10,1,2,9,4,2,,
"05090201201",1,5,9,2,8,88,12,1,1,,,2,,,,,2,,,,2,,
"05090302001",1,5,9,3,8,88,20,1,1,,,1,10,2,4,,2,,,,2,,
"05090302602",1,5,9,3,8,88,26,2,1,,,1,30,3,4,,1,1,11,,2,,
"05090303404",1,5,9,3,8,88,34,4,1,,,1,5,3,4,,1,2,11,1,2,,
"05090400101",0,5,9,4,4,1,1,1,1,4,3,1,20,2,1,4,1,2,9,4,2,,
"05090400302",1,5,9,4,8,88,3,2,1,,,1,20,2,9,,2,,,,2,,
"06020100802",1,6,2,1,8,88,8,2,1,4,,2,,,,,1,1,1,,2,,
"06020400402",1,6,2,4,8,88,4,2,1,3,5,2,,,,,1,1,1,5,2,,
"06020701002",1,6,2,7,8,88,10,2,1,5,,2,,,,,1,1,1,,2,,
"06030100301",1,6,3,1,8,88,3,1,1,11,,2,,,,,1,1,1,4,2,,
"06030304202",1,6,3,3,8,88,42,2,1,,,1,10,1,9,11,2,,,,2,,
